date,store_id,product_id,value
2023-09-30,17,121,0.8108880137683439
2023-07-22,14,7,0.6812910085456532
2023-02-28,14,190,0.8140958223988565
2023-09-23,7,9,0.9222093441313809
2023-03-25,24,52,0.6591449457586355
2023-09-18,9,176,0.08469080308609189
2023-12-04,11,71,0.030263878545944256
2023-06-14,2,141,0.6630359328835431
2023-08-15,5,177,0.17749751265607283
2023-03-23,21,164,0.49077924706654985
2023-04-15,16,192,0.5443106152456121
2023-05-29,17,62,0.23875676268758128
2023-12-25,16,192,0.17688854535792975
2023-04-30,17,25,0.3788570857618593
2023-11-09,11,4,0.61984254473982
2023-09-25,15,76,0.6776252677198826
2023-06-23,7,197,0.20622231893314413
2023-07-16,8,37,0.3404938314461835
2023-10-26,7,65,0.7209018226134449
2023-04-28,16,81,0.6646892444234331
2023-05-06,2,169,0.046546465352501065
2023-09-22,15,25,0.037121868430835314
2023-01-13,10,52,0.19547575157829
2023-10-16,20,90,0.3773992674812071
2023-02-23,9,141,0.13014637593564993
2023-05-27,2,85,0.38724926598858833
2023-07-29,19,158,0.4683291759160775
2023-03-06,11,128,0.9991706799096266
2023-05-03,18,87,0.20162972429444226
2023-01-05,21,26,0.806673175343597
2023-07-13,4,58,0.15566721227292757
2023-04-24,19,110,0.606487934847259
2023-05-15,12,193,0.3338464892438877
2023-07-29,17,8,0.894361694928401
2023-08-15,7,138,0.5291335586755737
2023-10-04,6,111,0.09129797322819055
2023-05-21,9,103,0.15210747634324828
2023-10-16,10,132,0.7726452834628651
2023-02-27,14,56,0.9303306879242742
2023-05-02,18,177,0.9310987574417263
2023-10-23,23,18,0.5828479900890066
2023-02-04,20,29,0.11681142200682249
2023-06-03,17,144,0.19782579928149158
2023-11-20,22,9,0.4916172626667934
2023-11-30,8,15,0.5753741982031775
2023-06-01,11,73,0.591968739842327
2023-09-28,18,179,0.07412906147761145
2023-07-28,19,80,0.7774009393284048
2023-03-29,7,110,0.02197057321308693
2023-09-22,17,93,0.0956354393096377
2023-11-05,13,33,0.6873777917200514
2023-02-13,24,57,0.25768363805835226
2023-06-23,19,117,0.6674516247728087
2023-07-19,17,5,0.7345234984308887
2023-10-18,10,30,0.6946876485611624
2023-06-02,2,103,0.08970247160173161
2023-06-06,9,3,0.8929968448011348
2023-02-13,10,195,0.0751626255673139
2023-01-30,1,78,0.43590504012099196
2023-03-04,5,146,0.02860412829116854
2023-09-08,20,188,0.3712941731561893
2023-08-11,14,112,0.5099007292661435
2023-05-23,7,74,0.5516044126493428
2023-09-08,22,194,0.9676500978415525
2023-10-17,4,43,0.9061346801150445
2023-02-14,5,74,0.60925550414383
2023-01-01,24,9,0.9795226054245076
2023-08-05,18,143,0.7659583865464399
2023-04-28,23,181,0.5070083156237408
2023-05-05,17,116,0.31267037984392176
2023-05-03,6,136,0.9379823789750431
2023-05-23,20,78,0.911506132718872
2023-04-28,24,191,0.6850022840888834
2023-06-21,18,153,0.9450928920494447
2023-10-17,11,4,0.14118963299596876
2023-10-19,18,89,0.002788058864599652
2023-09-10,22,111,0.18117006519495038
2023-01-07,22,126,0.10906579821700069
2023-06-25,20,88,0.4273134375156207
2023-03-08,17,174,0.5000767532626038
2023-01-15,22,196,0.8137340277563421
2023-01-17,17,16,0.2743234481760283
2023-10-23,8,50,0.18547843488895832
2023-10-06,25,29,0.24862745236721295
2023-08-10,16,185,0.49379870438070383
2023-11-13,3,160,0.2014723085375878
2023-02-22,12,102,0.6513254045997199
2023-09-04,21,65,0.821183389220191
2023-05-09,5,111,0.2765178745179422
2023-06-21,8,158,0.5450193738142166
2023-01-06,18,118,0.5162875573480611
2023-10-24,13,142,0.9884750027274749
2023-01-07,11,105,0.7611310176183017
2023-06-19,6,100,0.2535398091955301
2023-07-03,1,134,0.3740084538938272
2023-10-17,14,64,0.988947155928185
2023-09-02,4,95,0.762543017166106
2023-02-12,14,67,0.5525039019826955
2023-09-12,23,116,0.48760285069865716
2023-08-05,12,66,0.3539742445713482
2023-11-24,23,190,0.4221842981348668
2023-08-01,21,33,0.04197548333854695
2023-10-31,10,170,0.01515243392285981
2023-03-20,19,87,0.39371956806151387
2023-06-04,25,167,0.32643366597144063
2023-10-31,18,24,0.14955924135294774
2023-07-10,9,180,0.9395323303370863
2023-06-20,25,56,0.4686280204313632
2023-12-12,25,120,0.3866957534958839
2023-06-07,23,179,0.5162749521487933
2023-10-21,22,72,0.4760615152689036
2023-06-21,12,42,0.35585526466424455
2023-04-07,3,146,0.7813591051024679
2023-07-31,7,188,0.46309236996594383
2023-12-08,25,147,0.05780613206996699
2023-10-01,18,43,0.10898980228022848
2023-12-18,21,40,0.5152613683903541
2023-10-03,23,52,0.2817146460045078
2023-08-05,18,28,0.7742178435347086
2023-01-25,5,189,0.029741889227541507
2023-03-17,5,79,0.1409138572593468
2023-09-19,2,164,0.34384420313569575
2023-11-15,8,151,0.36682785489806014
2023-01-31,4,165,0.519146809521471
2023-02-16,25,61,0.4573563268137778
2023-09-28,21,54,0.10804515073749632
2023-09-30,5,114,0.6970262999091178
2023-02-04,8,131,0.7551464593625983
2023-11-02,8,135,0.8533130320983735
2023-04-14,22,128,0.2540119067107811
2023-02-09,11,187,0.04731138692146708
2023-01-12,6,186,0.15586621994286431
2023-12-17,5,132,0.793172231791601
2023-10-06,8,17,0.49917511494362266
2023-09-08,11,142,0.3516849777289792
2023-11-07,4,125,0.7981813850974868
2023-07-27,14,150,0.19908838789628303
2023-05-04,1,151,0.8652544325598862
2023-01-30,17,40,0.6225160874088126
2023-04-11,25,111,0.7577715279580572
2023-03-10,5,177,0.8108072173233508
2023-11-21,9,122,0.6323159150498583
2023-08-30,7,35,0.607661891196122
2023-11-17,11,117,0.009517693138406336
2023-02-04,12,25,0.38156232568715187
2023-03-11,25,135,0.07015129163980438
2023-06-03,11,141,0.7146926905707156
2023-09-21,23,26,0.5620528487064934
2023-03-02,14,62,0.8519510128245055
2023-07-02,11,192,0.6106126771598513
2023-10-23,20,166,0.7567020070671896
2023-02-02,19,162,0.30669143326175996
2023-06-21,3,180,0.8629364883264471
2023-02-05,15,4,0.030850962036819585
2023-01-14,8,125,0.9267224776454145
2023-08-27,15,69,0.10679940768184149
2023-10-31,16,200,0.17581826237516207
2023-12-03,9,63,0.8854763748783847
2023-09-27,25,40,0.23253742511692344
2023-02-25,8,55,0.7268400714284547
2023-11-23,18,88,0.5066628481933417
2023-02-12,20,85,0.6901508198925447
2023-07-16,7,143,0.7158120815151828
2023-01-20,4,66,0.7863048589215444
2023-08-16,22,38,0.6994964481718428
2023-07-07,23,38,0.1457014288077817
