date,store_id,product_id,promo_type,discount_pct,display_flag,campaign_name
2023-03-23,19,102,Bundle,0.1307160087692829,True,Holiday Sale
2023-01-13,14,169,Bundle,0.25529731517633714,True,Clearance
2023-10-14,5,158,Bundle,0.339090916820338,True,Summer Sale
2023-02-20,9,192,Discount,0.2119372274452901,True,Holiday Sale
2023-09-24,15,37,Discount,0.1902610417315873,True,Holiday Sale
2023-02-20,9,29,Bundle,0.1808443687218509,True,Clearance
2023-05-01,22,62,Bundle,0.2808012898319985,True,Clearance
2023-05-07,12,90,Discount,0.34111243723920337,True,Summer Sale
2023-03-11,13,53,Discount,0.37540753571100105,True,Clearance
2023-05-28,10,182,Discount,0.32559185200869484,True,Clearance
2023-10-18,13,75,Discount,0.33868749097906625,True,Holiday Sale
2023-03-21,7,48,Discount,0.21508318414842492,True,Summer Sale
2023-06-15,12,103,Discount,0.17589125202449074,True,Clearance
2023-04-23,9,90,Discount,0.13363753724577643,True,Holiday Sale
2023-07-08,3,152,Discount,0.17483620369589614,True,Clearance
2023-11-30,16,39,Discount,0.1574527499678518,True,Holiday Sale
2023-08-27,7,141,Bundle,0.10891649373226131,True,Clearance
2023-09-10,22,4,Bundle,0.38666725456990103,True,Summer Sale
2023-01-05,20,115,Bundle,0.3408260580671583,True,Holiday Sale
2023-08-22,18,159,Discount,0.27541659098699267,True,Summer Sale
2023-06-06,7,176,Bundle,0.2796927458809917,True,Summer Sale
2023-03-08,15,65,Bundle,0.23634046822979018,True,Summer Sale
2023-01-09,3,50,Discount,0.18919506537724412,True,Holiday Sale
2023-10-13,14,150,Bundle,0.16027009148926552,True,Clearance
2023-07-20,4,5,Bundle,0.34336205201122655,True,Clearance
2023-08-16,8,179,Bundle,0.2389657071907799,True,Clearance
2023-04-16,17,151,Discount,0.16489526683499894,True,Clearance
2023-11-17,8,38,Discount,0.3496358710781912,True,Summer Sale
2023-10-03,1,148,Discount,0.3624709098728076,True,Summer Sale
2023-07-05,13,180,Discount,0.30389309527861896,True,Clearance
2023-07-24,19,37,Bundle,0.3430642607569707,True,Clearance
2023-01-18,17,52,Bundle,0.16303092670385994,True,Holiday Sale
2023-06-24,4,181,Discount,0.347813262038666,True,Summer Sale
2023-11-02,23,36,Discount,0.36829590903849274,True,Summer Sale
2023-08-09,20,139,Discount,0.3772631642564849,True,Clearance
2023-04-24,6,4,Bundle,0.23419344243881107,True,Holiday Sale
2023-12-26,25,60,Bundle,0.3547759676568132,True,Clearance
2023-11-09,3,159,Discount,0.22572951658591048,True,Clearance
2023-08-16,25,50,Discount,0.34686072903768533,True,Holiday Sale
2023-09-25,22,124,Discount,0.12729130571616945,True,Holiday Sale
2023-08-12,24,57,Discount,0.11222238599959176,True,Holiday Sale
2023-11-19,21,26,Discount,0.10710304026195824,True,Clearance
2023-05-25,9,158,Bundle,0.15892536978993063,True,Summer Sale
2023-12-04,8,180,Bundle,0.28335094721137827,True,Holiday Sale
2023-02-25,9,5,Bundle,0.218250092910534,True,Clearance
2023-04-19,21,172,Discount,0.15721753745580438,True,Clearance
2023-02-09,12,177,Bundle,0.15831519806288605,True,Summer Sale
2023-02-12,16,199,Bundle,0.19982633607087846,True,Summer Sale
2023-10-18,1,169,Discount,0.1925627669338875,True,Clearance
2023-07-11,19,150,Bundle,0.11935423765180761,True,Clearance
2023-11-17,25,123,Bundle,0.14555724335193548,True,Clearance
2023-02-26,3,74,Discount,0.18285916413909353,True,Clearance
2023-03-17,11,183,Bundle,0.1387622074684539,True,Clearance
2023-01-26,2,86,Bundle,0.2710177185256085,True,Summer Sale
2023-04-26,21,119,Discount,0.2671340831129418,True,Clearance
2023-06-11,19,94,Discount,0.24583613573572602,True,Holiday Sale
2023-10-18,9,185,Bundle,0.20387140801732523,True,Clearance
2023-09-17,25,71,Bundle,0.1167935236279171,True,Summer Sale
2023-03-12,18,63,Bundle,0.33748576728197754,True,Summer Sale
2023-02-15,7,124,Discount,0.21378054411043285,True,Clearance
2023-01-24,13,139,Discount,0.2858446467277792,True,Summer Sale
2023-08-29,2,72,Discount,0.23353079981311012,True,Clearance
2023-01-27,3,44,Bundle,0.3030644939010857,True,Holiday Sale
2023-09-13,5,167,Bundle,0.20840608238357997,True,Clearance
2023-09-30,19,68,Discount,0.1518637771316953,True,Holiday Sale
2023-09-08,24,5,Discount,0.16328978315772325,True,Holiday Sale
2023-08-31,15,99,Bundle,0.13746512071372968,True,Clearance
2023-06-10,11,181,Discount,0.14493239312390097,True,Summer Sale
2023-12-20,13,113,Bundle,0.2001170818785674,True,Summer Sale
2023-05-01,23,101,Bundle,0.1096633907989068,True,Summer Sale
2023-12-20,21,160,Bundle,0.19893278229126046,True,Holiday Sale
2023-02-13,7,142,Discount,0.31513156755418276,True,Clearance
2023-10-03,7,126,Bundle,0.33810469063591464,True,Summer Sale
2023-08-28,19,157,Bundle,0.2540190570115297,True,Summer Sale
2023-07-25,3,114,Discount,0.24873428667852054,True,Summer Sale
2023-03-03,10,132,Discount,0.23337503252118239,True,Clearance
2023-11-05,15,154,Bundle,0.18266611621596301,True,Clearance
2023-02-09,15,129,Discount,0.25573594188247073,True,Holiday Sale
2023-07-19,15,92,Discount,0.29034712216779157,True,Clearance
2023-08-14,21,44,Discount,0.30066859570900667,True,Clearance
2023-07-30,12,124,Bundle,0.12054671367552414,True,Summer Sale
2023-07-10,13,45,Bundle,0.35345318788647395,True,Holiday Sale
2023-12-30,5,24,Discount,0.23615962357950684,True,Holiday Sale
2023-05-12,21,121,Discount,0.3926985314374738,True,Holiday Sale
2023-10-23,2,118,Bundle,0.12152287453651972,True,Summer Sale
2023-07-07,24,185,Bundle,0.26803294379545706,True,Holiday Sale
2023-05-03,19,200,Bundle,0.25359338912252105,True,Holiday Sale
2023-10-20,3,70,Bundle,0.3052492798310146,True,Summer Sale
2023-03-13,18,15,Discount,0.10587048584151798,True,Holiday Sale
2023-10-07,17,184,Bundle,0.1433008294870109,True,Clearance
2023-05-11,8,86,Bundle,0.10956055729172595,True,Holiday Sale
2023-03-03,1,80,Bundle,0.24021362064423196,True,Summer Sale
2023-02-22,19,108,Discount,0.24148138082362797,True,Clearance
2023-05-07,16,181,Discount,0.16443692680416155,True,Holiday Sale
2023-04-12,11,86,Bundle,0.11404424525510158,True,Summer Sale
2023-06-17,7,170,Bundle,0.313710637838921,True,Holiday Sale
2023-02-27,19,47,Discount,0.3325163380708921,True,Holiday Sale
2023-11-02,16,111,Discount,0.13331457098422253,True,Holiday Sale
2023-01-21,10,83,Bundle,0.35586147984929994,True,Summer Sale
2023-08-27,3,47,Bundle,0.36328580836098834,True,Clearance
2023-09-18,20,9,Discount,0.3882473834201733,True,Holiday Sale
2023-09-29,7,60,Discount,0.16865024440998932,True,Holiday Sale
2023-06-11,9,13,Bundle,0.18764071639961602,True,Clearance
2023-02-23,11,164,Discount,0.3355813365250735,True,Holiday Sale
2023-05-17,19,98,Discount,0.1622132937246529,True,Summer Sale
2023-11-24,7,106,Bundle,0.39685230798887994,True,Holiday Sale
2023-12-18,9,185,Discount,0.3728269280080353,True,Summer Sale
